from,to,year,type,pps,effect
AZO,VFB,2015,2,"1,6",0.5
ABE,FSVM,2019,2,"1,8",1
ENMA,FCA,2022,2,"0,6",1
GS,BMG,2023,2,"0,5",1
JLU,VFB,2016,2,0,1
JML,FSVM,2019,2,0,1
MSCH,FCK,2019,2,0,1
MW,S04,2016,2,0,1
MW,FCA,2012,2,"0,2",1
NK,VFLW,2022,2,"0,4",1
SS,BSC,2022,2,"0,8",1
ACO,BSC,2019,2,"0,8",2
AH,BMG,2021,2,"0,8",2
AVE,VFB,2014,2,"0,2",2
BLAB,VFB,2022,2,"0,4",2
BLAB,VFLW,2018,2,"0,4",2
DSCH,FCA,2016,2,"1,4",2
DT,RBL,2021,2,2,2
DTO,SGE,2023,2,"1,5",2
FKR,TSGH,2012,2,0,2
GV,FCN,2013,2,"0,4",2
HH,B04,2017,2,"0,8",2
HS,TSGH,2015,2,"0,8",2
JML,FSVM,2020,2,"0,2",2
KBA,FCKA,2012,2,0,2
MR,BVB,2021,2,"2,4",2
MSK,BSC,2012,2,0,2
MW,VFB,2018,2,"0,6",2
MWI,FCN,2012,2,"1,2",2
NM,SVD,2016,2,"0,8",2
OG,SGE,2021,2,"0,8",2
OG,VFLW,2019,2,"1,8",2
PD,BSC,2021,2,"0,2",2
PKN,HSV,2015,2,0,2
PM,TSGH,2023,2,0,2
ROS,B04,2014,2,2,2
RPR,FCN,2014,2,0,2
RPR,FCN,2013,2,"0,25",2
SB,FCK,2021,2,"1,6",2
SHY,B04,2013,2,"2,4",2
SS,FSVM,2017,2,"0,6",2
TK,B04,2017,2,1,2
TS,H96,2015,2,0,2
MWIE,FCN,2012,2,"1,2",2
BSCH,FCN,2019,2,"0,2",3
DFA,BMG,2022,2,"1,6",3
JMA,RBL,2021,2,"0,8",3
KH,FSVM,2014,2,"1,8",3
MBAB,TSGH,2012,2,"1,2",3
MG,HSV,2016,2,"0,2",3
MKAU,FCI,2016,2,"0,2",3
MSC,FCA,2019,2,"1,4",3
MW,FCA,2021,2,"0,8",3
NK,SGE,2016,2,"0,6",3
PGU,FCB,2013,2,"2,6",3
RBER,SVD,2016,2,0,3
ABR,S04,2015,2,3,4
AH,SGE,2018,2,"0,8",4
ANO,BSC,2020,2,"1,25",4
ANO,SVW,2016,2,"1,4",4
AS,TSGH,2019,2,1,4
AVE,SGE,2015,2,0,4
BHO,HSV,2018,2,"0,4",4
BS,FSVM,2021,2,"0,8",4
CA,FCB,2016,2,3,4
CG,S04,2020,2,"0,6",4
CST,SCF,2012,2,1,4
DGR,S04,2021,2,"0,8",4
DH,VFLW,2012,2,"1,4",4
DT,S04,2017,2,"1,8",4
DWA,S04,2019,2,2,4
ETE,BVB,2022,2,"2,4",4
FKR,DSC,2021,2,1,4
FKR,SGF,2013,2,"0,8",4
FS,FCK,2012,2,"0,25",4
HF,FCB,2019,2,"1,8",4
HH,FCA,2020,2,1,4
HS,S04,2019,2,"0,8",4
HS,VFB,2014,2,"1,6",4
HS,S04,2011,2,2,4
JK,S04,2012,2,1,4
JKR,VFB,2015,2,"1,6",4
JLU,BSC,2012,2,"1,4",4
JN,FCB,2021,2,"2,6",4
JN,TSGH,2016,2,"1,4",4
JZ,HSV,2014,2,1,4
LPR,SGF,2013,2,"0,67",4
MBA,S04,2020,2,"0,6",4
MBA,FCA,2016,2,2,4
MF,VFLW,2021,2,"0,2",4
MG,FCK,2019,2,"1,4",4
MG,TSGH,2013,2,"1,6",4
MKO,DSC,2022,2,"0,5",4
MKU,TSGH,2012,2,"0,8",4
MRA,TSGH,2020,2,"2,25",4
MSC,VFLW,2017,2,1,4
MSC,FSVM,2015,2,"1,6",4
NK,FCB,2018,2,"2,6",4
PB,BVB,2017,2,"2,6",4
PD,BSC,2023,2,"0,8",4
PD,BSC,2015,2,"1,4",4
RC,HSV,2011,2,1,4
RDM,S04,2014,2,"1,8",4
RDU,SVW,2013,2,0,4
RR,RBL,2018,2,"1,6",4
TD,H96,2018,2,"0,6",4
TD,B04,2018,2,"2,4",4
TF,HSV,2011,2,"1,4",4
TFR,SVD,2016,2,"0,8",4
TK,BSC,2021,2,"1,4",4
TK,H96,2013,2,"1,2",4
TR,S04,2022,2,"0,6",4
TT,FCB,2023,2,2,4
UR,F95,2020,2,"1,2",4
VIS,VFLW,2016,2,"0,8",4
XA,B04,2022,2,"1,4",4
ABE,RBL,2021,2,3,5
ABR,TSGH,2022,2,"1,8",5
AJO,VFLW,2017,2,"1,6",5
BLAB,BSC,2020,2,2,5
BLAB,HSV,2015,2,"1,4",5
BVM,HSV,2013,2,"1,6",5
CT,HSV,2018,2,"1,4",5
DAST,H96,2016,2,"1,6",5
DH,BMG,2016,2,"1,6",5
ETE,BVB,2020,2,2,5
FF,FCK,2021,2,"1,4",5
FKO,VFLW,2021,2,"1,4",5
FKO,SVW,2017,2,"1,8",5
FMA,BSC,2022,2,"1,4",5
GS,B04,2021,2,2,5
HS,VFB,2014,2,"1,4",5
HW,B04,2021,2,2,5
JH,FCB,2017,2,3,5
JKL,BSC,2019,2,"1,6",5
JN,RBL,2019,2,"2,6",5
LFA,BVB,2018,2,"2,2",5
LGK,VFLW,2012,2,2,5
MF,H96,2015,2,"1,6",5
MR,RBL,2022,2,2,5
MR,BMG,2019,2,2,5
MSL,HSV,2014,2,"1,4",5
MVB,VFLW,2021,2,"2,6",5
MWA,FCI,2016,2,2,5
MWI,VFB,2022,2,"1,8",5
NW,VFB,2019,2,"1,75",5
OR,BSC,2012,2,"1,2",5
PST,BVB,2017,2,"1,8",5
SH,VFB,2023,2,"1,6",5
SLE,B04,2014,2,"2,6",5
SLE,B04,2012,2,"2,2",5
SR,FCK,2017,2,"1,8",5
TL,VFLB,2022,2,"1,2",5
